NoA:10, NoC:10, NoS: 2
STT | ETH ET1 ET2 | EVR1 EVR2 EVR3 EVR4 | WTH WTR1 WTR2 | MDH MDR1 MDR2 MDR3 MDR4 | PYH | OUT
    | A00         |                     |               |                         |     |     Thread-13
    | A01         |                     |               |                         |     |     Thread-14
    | C02         |                     |               |                         |     |     Thread-15
    | C03         |                     |               |                         |     |     Thread-16
    | C04         |                     |               |                         |     |     Thread-17
    | A05         |                     |               |                         |     |     Thread-18
    | A06         |                     |               |                         |     |     Thread-19
    | A07         |                     |               |                         |     |     Thread-20
    | A08         |                     |               |                         |     |     Thread-21
    | C09         |                     |               |                         |     |     Thread-22
    |         C03 |                     |               |                         |     |     Thread-16
    | C10         |                     |               |                         |     |     Thread-23
    | A11         |                     |               |                         |     |     Thread-24
    | A12         |                     |               |                         |     |     Thread-25
    | A13         |                     |               |                         |     |     Thread-26
    | A14         |                     |               |                         |     |     Thread-27
    | C15         |                     |               |                         |     |     Thread-28
    | C16         |                     |               |                         |     |     Thread-29
    | C17         |                     |               |                         |     |     Thread-30
    | C18         |                     |               |                         |     |     Thread-31
    | C19         |                     |               |                         |     |     Thread-32
    |             | C03                 |               |                         |     |     Thread-16
    |     A01     |                     |               |                         |     |     Thread-14
    |     A00     |                     |               |                         |     |     Thread-13
    |         C02 |                     |               |                         |     |     Thread-15
    |     A06     |                     |               |                         |     |     Thread-19
    |     A05     |                     |               |                         |     |     Thread-18
    |         C04 |                     |               |                         |     |     Thread-17
    |             |           A00       |               |                         |     |     Thread-13
    |             |      A01            |               |                         |     |     Thread-14
    |             |                     | C00R          |                         |     |     Thread-16
    |             |                C02  |               |                         |     |     Thread-15
    |             |                     |          C00R |                         |     |     Thread-16
    |         C09 |                     |               |                         |     |     Thread-22
    |         C10 |                     |               |                         |     |     Thread-23
    |             | C04                 |               |                         |     |     Thread-17
    |             |                     | A01Y          |                         |     |     Thread-14
    |             |                     | A02R          |                         |     |     Thread-13
    |             |                     |     A01Y      |                         |     |     Thread-14
    |             |                     |               | C00R                    |     |     Thread-16
    |             |                     | C03R          |                         |     |     Thread-17
    |             |      A06            |               |                         |     |     Thread-19
    |             |                     |               | A01Y                    |     |     Thread-14
    |     A07     |                     |               |                         |     |     Thread-20
    |     A08     |                     |               |                         |     |     Thread-21
    |             |                     |     A02R      |                         |     |     Thread-13
    |             |                     | C04Y          |                         |     |     Thread-15
    |             |                     |          C03R |                         |     |     Thread-17
    |             |                     |               |     C00R                |     |     Thread-16
    |             | A05                 |               |                         |     |     Thread-18
    |             |                     |               |               A01Y      |     |     Thread-14
    |         C15 |                     |               |                         |     |     Thread-28
    |             |                     | A05B          |                         |     |     Thread-19
    |             |                     |          C04Y |                         |     |     Thread-15
    |             |                     | A06B          |                         |     |     Thread-18
